"","Date","WORK.Open","WORK.High","WORK.Low","WORK.Close","WORK.Volume","WORK.Adjusted"
"244",2020-06-08,32.220001,32.290001,30.549999,32.009998,37757600,32.009998
"245",2020-06-09,31.799999,32,30.85,31.32,17851600,31.32
"246",2020-06-10,31.82,32.599998,31.33,32.470001,20476200,32.470001
"247",2020-06-11,31.690001,32.75,29.68,30.34,27085800,30.34
"248",2020-06-12,31.1,31.23,29.540001,30.860001,18785700,30.860001
"249",2020-06-15,30,31.15,29.66,30.870001,17141400,30.870001
"250",2020-06-16,31.110001,32.605,30.66,32.360001,20961400,32.360001
"251",2020-06-17,32.580002,33.34,32.209999,32.400002,19369800,32.400002
"252",2020-06-18,32,34.669998,31.889999,34.220001,27456100,34.220001
"253",2020-06-19,32.560001,34.09,32.049999,33.130001,41767000,33.130001
"254",2020-06-22,33.25,34.209999,33.150002,34.209999,19928400,34.209999
"255",2020-06-23,34.34,34.349998,33.110001,34.040001,20378000,34.040001
"256",2020-06-24,33.900002,34.275002,31.67,31.969999,27224600,31.969999
"257",2020-06-25,32.32,33.080002,31.164,32.82,24371800,32.82
"258",2020-06-26,32.740002,33.560001,31.76,32.529999,38308100,32.529999
"259",2020-06-29,32.16,32.529999,30.15,30.870001,20315700,30.870001
"260",2020-06-30,30.969999,31.459999,30.700001,31.09,12488500,31.09
"261",2020-07-01,30.799999,31.27,30.58,31.059999,11380000,31.059999
"262",2020-07-02,31.139999,31.360001,30.09,30.309999,16953200,30.309999
"263",2020-07-06,30.540001,31.67,30.18,31.120001,13610700,31.120001
"264",2020-07-07,31.209999,31.77,30.655001,31.48,10799400,31.48
"265",2020-07-08,31.76,34.25,31.57,34.240002,24960300,34.240002
"266",2020-07-09,33.57,34.09,31.9,34.02,27169400,34.02
"267",2020-07-10,34.18,34.259998,33.169998,33.84,11995200,33.84
