"","Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","ADX","TrigLevel","DateTime"
"432","12/31/2019","06:15",3222,3223,3221.5,3221.75,409,763,3224.08,3225.35,35.33,20,"12/31/2019 06:15"
"433","12/31/2019","06:20",3221.75,3222,3220.25,3221.5,652,886,3223.64,3225.03,38.03,20,"12/31/2019 06:20"
"434","12/31/2019","06:25",3221.5,3221.75,3220.5,3221.5,609,859,3223.19,3224.69,40.54,20,"12/31/2019 06:25"
"435","12/31/2019","06:30",3221.5,3223,3221.5,3223,438,170,3222.94,3224.47,40.83,20,"12/31/2019 06:30"
"436","12/31/2019","06:35",3223,3223.5,3222.25,3222.5,469,520,3222.69,3224.17,40.41,20,"12/31/2019 06:35"
"437","12/31/2019","06:40",3222.5,3222.75,3222,3222.25,238,619,3222.47,3223.92,40.19,20,"12/31/2019 06:40"
"438","12/31/2019","06:45",3222,3222.25,3221.25,3221.75,364,390,3222.25,3223.67,40.43,20,"12/31/2019 06:45"
"439","12/31/2019","06:50",3221.75,3222,3220.5,3220.5,325,784,3221.86,3223.38,41.04,20,"12/31/2019 06:50"
"440","12/31/2019","06:55",3220.5,3221.25,3219.75,3221,809,821,3221.75,3223.13,41.96,20,"12/31/2019 06:55"
"441","12/31/2019","07:00",3221,3221.75,3220.25,3220.5,463,467,3221.61,3222.85,42.11,20,"12/31/2019 07:00"
"442","12/31/2019","07:05",3220.25,3223.75,3219.75,3222.75,2750,1920,3221.75,3222.69,40.03,20,"12/31/2019 07:05"
"443","12/31/2019","07:10",3222.75,3224.5,3222.75,3224.5,1521,773,3222.08,3222.64,37.46,20,"12/31/2019 07:10"
"444","12/31/2019","07:15",3224.5,3224.5,3223,3223.25,517,1132,3222.11,3222.53,35.06,20,"12/31/2019 07:15"
"445","12/31/2019","07:20",3223.25,3223.25,3221.25,3222.5,835,1367,3222.11,3222.4,34.06,20,"12/31/2019 07:20"
"446","12/31/2019","07:25",3222.5,3223.5,3222,3222.25,380,724,3222.11,3222.29,32.91,20,"12/31/2019 07:25"
"447","12/31/2019","07:30",3222.25,3223.25,3222.25,3222.75,473,614,3222.22,3222.24,31.83,20,"12/31/2019 07:30"
"448","12/31/2019","07:35",3222.5,3223,3221.5,3221.75,549,905,3222.36,3222.11,31.33,20,"12/31/2019 07:35"
"449","12/31/2019","07:40",3221.75,3222,3220.75,3221.25,811,566,3222.39,3222.07,31.31,20,"12/31/2019 07:40"
"450","12/31/2019","07:45",3221.25,3221.5,3220.25,3220.5,530,1416,3222.39,3222,31.58,20,"12/31/2019 07:45"
"451","12/31/2019","07:50",3220.5,3220.5,3217.75,3219,1456,3062,3221.97,3221.86,32.91,20,"12/31/2019 07:50"
"452","12/31/2019","07:55",3219,3219.5,3216.75,3218.75,2418,2993,3221.33,3221.71,34.47,20,"12/31/2019 07:55"
"453","12/31/2019","08:00",3218.5,3219,3217,3217.75,1454,1171,3220.72,3221.42,35.92,20,"12/31/2019 08:00"
"454","12/31/2019","08:05",3217.5,3218.25,3216.25,3217.5,1670,1773,3220.17,3221.14,37.51,20,"12/31/2019 08:05"
